rpm,x_mean,x_std,x_var,x_rms,x_skewness,x_kurtosis,x_ppk,x_true_peak,x_crest_factor,y_mean,y_std,y_var,y_rms,y_skewness,y_kurtosis,y_ppk,y_true_peak,y_crest_factor,label
2400.0,2.56092041271,0.00212672438407,4.5229566058e-06,2.56092129578,-8.294967704943211,198.4933050188114,0.059213,2.567423,1.00253881454,0.803586068754,0.002796948736,7.82292223183e-06,0.803590936247,0.3004237344571745,1.6761391546701816,0.02181,0.820236,1.02071335427,True
2400.0,2.56087934655,0.00245271313543,6.01580172471e-06,2.56088052111,-10.520759437387529,211.45304296292116,0.059917,2.568127,1.00282968254,0.8034117792,0.00261756871367,6.8516659708e-06,0.803416043295,0.026470678728322653,0.981969460002587,0.020578,0.819004,1.01940209787,True
2400.0,2.56088334329,0.00223690484312,5.00374327719e-06,2.56088432025,-9.774259156825861,215.63509057161252,0.059741,2.567951,1.00275946855,0.803557685179,0.00273306475128,7.4696429347e-06,0.803562333023,0.21334834775486478,1.557062963776434,0.021282,0.819708,1.020092613,True
2400.0,2.56094273886,0.00202341291051,4.0941998064e-06,2.56094353821,-7.4625085148390236,179.96137142706428,0.059565,2.567775,1.00266755658,0.803407551447,0.00270647659166,7.32501554121e-06,0.803412110151,0.14549478535584118,1.1872477834245432,0.021282,0.819708,1.02028335103,True
2400.0,2.56093734576,0.00167865011056,2.8178661937e-06,2.56093789593,-0.027085518238140982,0.04017269247390276,0.014098,2.567951,1.00273849049,0.803587648301,0.00293939512912,8.64004372507e-06,0.803593024201,0.49085657438363844,1.5996827954236137,0.022337,0.820763,1.02136650678,True
2835.0,2.56096481836,0.00219284395044,4.80856459098e-06,2.56096575718,-0.09706260739348849,-0.23190187867024248,0.016036,2.568656,1.00300286827,0.80341842884,0.00281966643338,7.9505187955e-06,0.803423376756,0.13600727652434846,0.5783639584365337,0.021282,0.819708,1.02026904334,True
2850.0,2.5609366392,0.00226439705614,5.12749402786e-06,2.5609376403,-0.6994741681259998,11.905025675689052,0.05745,2.567951,1.00273859058,0.803451448052,0.00297296972075,8.83854896047e-06,0.803456948396,0.4603269145192051,1.7415489428294588,0.021986,0.820412,1.02110262614,True
2865.0,2.56092620544,0.00242595992076,5.88528153712e-06,2.56092735449,-3.148253606370197,60.81972709557992,0.060622,2.568832,1.00308663403,0.803288667605,0.00277799096307,7.71723379088e-06,0.803293471115,0.1139943411325011,0.6949497791996624,0.021282,0.819708,1.02043403747,True
2850.0,2.56097638091,0.00227379161384,5.17012830317e-06,2.56097739032,-0.6046465882967563,10.57738451871088,0.057626,2.569361,1.0032735977,0.803396862345,0.00289492475565,8.3805893409e-06,0.80340207805,0.501043523974231,2.212717437305046,0.02181,0.820236,1.0209532965,True
2850.0,2.56095842702,0.00226689290336,5.13880343528e-06,2.56095943032,-0.08253786058456339,-0.29969185721391023,0.016036,2.568832,1.00307407044,0.803328906953,0.00277527982801,7.70217812378e-06,0.803333700852,0.10444441220908292,0.740752735306641,0.020578,0.819004,1.01950658753,True
3285.0,2.56090013473,0.00208445648834,4.34495885177e-06,2.56090098305,-0.3857694107307227,10.509238433491538,0.052516,2.56848,1.0029595119,0.803390364399,0.00285140854994,8.1305307187e-06,0.803395424521,0.2791090806494954,1.3869739977238114,0.021282,0.819708,1.02030454118,True
3285.0,2.56089942252,0.00236602266642,5.598063258e-06,2.56090051551,-5.046715883870193,106.4825359306348,0.059917,2.568127,1.00282185288,0.803144033779,0.00272886250156,7.44669055241e-06,0.803148669728,0.07805220082488103,0.5052976441888148,0.02093,0.819356,1.02017973868,True
3285.0,2.56082690409,0.00229167308231,5.25176551617e-06,2.5608279295,-4.503586235629616,98.98776105321052,0.060799,2.569185,1.00326342524,0.802849643069,0.00269934461733,7.28646136312e-06,0.80285418093,0.04636741942885402,-0.06776478814739928,0.02093,0.819356,1.020553943,True
3300.0,2.56101263198,0.00219799194244,4.83116857903e-06,2.5610135752,-2.7900040893142166,64.59299967180782,0.060446,2.568832,1.00305286348,0.803421302924,0.00261684745985,6.84789062812e-06,0.803425564619,-0.13979884158823808,0.27045641711459734,0.021282,0.819708,1.02026626498,True
3285.0,2.56099970436,0.00216150496052,4.67210369434e-06,2.56100061652,-2.52042986012632,60.384826520262,0.060799,2.569185,1.00319577568,0.803494863603,0.00280768574265,7.8830992295e-06,0.803499769095,0.2657373630542055,1.6915659097082987,0.02181,0.820236,1.02082916704,True
3435.0,2.56096758187,0.00186131077602,3.46447780493e-06,2.56096825827,0.059019552993822375,-0.10015478988566695,0.01445,2.568127,1.00279532622,0.803415927352,0.00271626188417,7.37807862342e-06,0.803420519032,0.06376535937327553,0.9210358777940844,0.021282,0.819708,1.02027267238,True
3420.0,2.56093866783,0.00188837420877,3.56595715233e-06,2.56093936405,-0.7721141151571178,20.28547826946378,0.055335,2.56848,1.00294448047,0.803370046525,0.00274108408987,7.51354198771e-06,0.803374722777,0.07920809835251194,0.8734330731695099,0.022161,0.820587,1.02142496737,True
3420.0,2.56093746235,0.00188210700881,3.54232679261e-06,2.56093815395,0.049397626051639845,-0.10301560470486537,0.013746,2.567423,1.00253221502,0.803362715806,0.00275835881687,7.60854336263e-06,0.803367451227,0.14019799149045917,1.0939160269701835,0.021986,0.820412,1.02121637956,True
3435.0,2.56072185184,0.00290239272149,8.42388350976e-06,2.56072349667,-5.648411569090326,71.54592465313297,0.059917,2.568127,1.0028911764,0.803243633714,0.00265795310589,7.06471471313e-06,0.803248031319,-0.12636844557275523,-0.03135853211580075,0.02181,0.820236,1.0211490947,True
